"Samis Jackets AB";"559489-5301";"";""
"";"";"";""
"";"Ingående saldo 2026-01-01";"";"108"
"2026-02-12";"Moms okt 2025 - dec 2025";"-81 643";"-81 535"
"2026-02-28";"Inbetalning bokförd 260227";"19 612";"-61 923"
"2026-03-01";"Kostnadsränta";"-645";"-62 568"
"2026-03-12";"Arbetsgivaravgift febr 2026";"-6 360";"-68 928"
"2026-03-12";"Avdragen skatt febr 2026";"-3 520";"-72 448"
"2026-03-12";"Anställningsstöd";"3 755";"-68 693"
"2026-03-12";"Lönebidrag och skyddat arbete";"18 390";"-50 303"
"2026-03-19";"Inbetalning bokförd 260318";"52 871";"2 568"
"2026-04-04";"Kostnadsränta";"-475";"2 093"
"2026-04-04";"Intäktsränta";"2";"2 095"
"2026-04-13";"Arbetsgivaravgift mars 2026";"-8 909";"-6 814"
"2026-04-13";"Avdragen skatt mars 2026";"-5 014";"-11 828"
"2026-04-13";"Beslut 260227 arbetsgivaravgift febr 2026";"-6 132";"-17 960"
"2026-04-13";"Beslut 260227 avdragen skatt febr 2026";"-3 600";"-21 560"
"2026-04-13";"Anställningsstöd";"18 314";"-3 246"
"2026-04-13";"Lönebidrag och skyddat arbete";"20 060";"16 814"
"2026-04-27";"Beslut 260323 arbetsgivaravgift mars 2026";"-2 467";"14 347"
"2026-04-27";"Beslut 260323 avdragen skatt mars 2026";"-1 940";"12 407"
"";"Utgående saldo 2026-05-02";"";"12 407"
