Datum för kontohändelse;Bokföringsdag;Rubrik;Belopp;Valuta;Typ av transaktion;Ursprungligt belopp;Ursprunglig valuta;Stad;Land;Växelkurs
"2026-03-25";;"INBETALNING";"3000";"SEK";;;;"";"";"0"
"2026-03-18";;"APPLE.COM/BILL";"-39";"SEK";;;;"";"";"0"
"2026-03-11";;"CLAS OHLSON";"-259.8";"SEK";;;;"";"";"0"
"2026-03-11";;"SORMLANDSTRAFIKEN";"-70";"SEK";;;;"";"";"0"
"2026-03-10";;"KONTANTUTTAGSAVGIFT";"-40";"SEK";;;;"";"";"0"
"2026-03-10";;"Jafaris Group AB 201";"-200";"SEK";;;;"";"";"0"
"2026-03-10";;"ATM KONTANTEN 4167 CIT";"-2000";"SEK";;;;"";"";"0"
"2026-03-07";;"SORMLANDSTRAFIKEN";"-35";"SEK";;;;"";"";"0"
"2026-03-07";;"GOOGLE *ADS5215017274";"18.18";"SEK";;;;"";"";"0"
"2026-03-06";;"SORMLANDSTRAFIKEN";"-70";"SEK";;;;"";"";"0"
"2026-03-05";;"SORMLANDSTRAFIKEN";"-70";"SEK";;;;"";"";"0"
"2026-03-05";;"RÖRLIG RÄNTA";"-369.13";"SEK";;;;"";"";"0"
"2026-03-02";;"VIMLA 0735165708 MARS";"-116.77";"SEK";;;;"";"";"0"
"2026-03-02";;"VIMLA 0735147846 MARS";"-120";"SEK";;;;"";"";"0"
"2026-03-02";;"VIMLA 0793392306 MARS";"-118.06";"SEK";;;;"";"";"0"
"2026-03-02";;"VIMLA 0735299675 MARS";"-118.06";"SEK";;;;"";"";"0"
"2026-02-27";;"WILLYS ESKILSTUNA C";"-1073.7";"SEK";;;;"";"";"0"
"2026-02-27";;"INBETALNING";"4500";"SEK";;;;"";"";"0"
"2026-02-20";;"WILLYS ESKILSTUNA C";"-29.9";"SEK";;;;"";"";"0"
"2026-02-20";;"VIMLA 0735147846 FEB";"-102.85";"SEK";;;;"";"";"0"
"2026-02-20";;"VIMLA 0793392306 FEB";"-60";"SEK";;;;"";"";"0"
"2026-02-20";;"VIMLA 0735299675 FEB";"-60";"SEK";;;;"";"";"0"
"2026-02-20";;"VIMLA 0735165708 FEB";"-20";"SEK";;;;"";"";"0"
"2026-02-18";;"APPLE.COM/BILL";"-39";"SEK";;;;"";"";"0"
"2026-02-16";;"APPLE.COM/BILL";"-18";"SEK";;;;"";"";"0"
"2026-02-15";;"ADAM KOTT";"-180";"SEK";;;;"";"";"0"
"2026-02-11";;"APPLE.COM/BILL";"-249";"SEK";;;;"";"";"0"
"2026-02-07";;"KONTANTUTTAGSAVGIFT";"-40";"SEK";;;;"";"";"0"
"2026-02-07";;"ATM KONTANTEN 4167 CIT";"-1000";"SEK";;;;"";"";"0"
"2026-02-05";;"RÖRLIG RÄNTA";"-402.76";"SEK";;;;"";"";"0"
"2026-01-28";;"INBETALNING";"2500";"SEK";;;;"";"";"0"
"2026-01-28";;"ADAM KOTT";"-461";"SEK";;;;"";"";"0"
"2026-01-18";;"APPLE.COM/BILL";"-39";"SEK";;;;"";"";"0"
"2026-01-12";;"MATNARA FROSLUNDA";"-254.58";"SEK";;;;"";"";"0"
"2026-01-07";;"LAGER 157 ESKIL";"-650";"SEK";;;;"";"";"0"
"2026-01-07";;"CITY GROSS ESKILSTUN";"-464.85";"SEK";;;;"";"";"0"
"2026-01-07";;"ESKILSTUNA HALAL KOTT";"-117";"SEK";;;;"";"";"0"
"2026-01-07";;"APPLE.COM/BILL";"-39";"SEK";;;;"";"";"0"
"2026-01-05";;"RÖRLIG RÄNTA";"-430.6";"SEK";;;;"";"";"0"
