Datum för kontohändelse;Bokföringsdag;Rubrik;Belopp;Valuta;Typ av transaktion;Ursprungligt belopp;Ursprunglig valuta;Stad;Land;Växelkurs
"2026-03-31";;"Nordea Cashback";"13.91";"SEK";;;;"";"";"0"
"2026-03-25";;"INBETALNING";"5500";"SEK";;;;"";"";"0"
"2026-03-16";;"APPLE.COM/BILL";"-18";"SEK";;;;"";"";"0"
"2026-03-13";;"WILLYS ESKILSTUNA C";"-729";"SEK";;;;"";"";"0"
"2026-03-11";;"APPLE.COM/BILL";"-249";"SEK";;;;"";"";"0"
"2026-03-09";;"One.com";"1200";"SEK";;;;"";"";"0"
"2026-03-09";;"KONTANTUTTAGSAVGIFT";"-40";"SEK";;;;"";"";"0"
"2026-03-09";;"ATM KONTANTEN 4167 CIT";"-2000";"SEK";;;;"";"";"0"
"2026-03-09";;"KONTANTUTTAGSAVGIFT";"-40";"SEK";;;;"";"";"0"
"2026-03-09";;"ATM KONTANTEN 4167 CIT";"-2000";"SEK";;;;"";"";"0"
"2026-03-09";;"KONTANTUTTAGSAVGIFT";"-40";"SEK";;;;"";"";"0"
"2026-03-09";;"ATM KONTANTEN 4167 CIT";"-2000";"SEK";;;;"";"";"0"
"2026-03-09";;"KONTANTUTTAGSAVGIFT";"-40";"SEK";;;;"";"";"0"
"2026-03-09";;"ATM KONTANTEN 4167 CIT";"-2000";"SEK";;;;"";"";"0"
"2026-03-09";;"KONTANTUTTAGSAVGIFT";"-40";"SEK";;;;"";"";"0"
"2026-03-09";;"ATM KONTANTEN 4167 CIT";"-2000";"SEK";;;;"";"";"0"
"2026-03-05";;"RÖRLIG RÄNTA";"-766.99";"SEK";;;;"";"";"0"
"2026-02-28";;"One.com";"-2983.75";"SEK";;;;"";"";"0"
"2026-02-25";;"INBETALNING";"11000";"SEK";;;;"";"";"0"
"2026-02-05";;"DRÖJSMÅLSRÄNTA";"-0.9";"SEK";;;;"";"";"0"
"2026-02-05";;"RÖRLIG RÄNTA";"-860.62";"SEK";;;;"";"";"0"
"2026-01-31";;"Nordea Cashback";"2.34";"SEK";;;;"";"";"0"
"2026-01-28";;"INBETALNING";"3500";"SEK";;;;"";"";"0"
"2026-01-16";;"APPLE.COM/BILL";"-18";"SEK";;;;"";"";"0"
"2026-01-11";;"APPLE.COM/BILL";"-249";"SEK";;;;"";"";"0"
"2026-01-05";;"RÖRLIG RÄNTA";"-891.21";"SEK";;;;"";"";"0"
"2026-01-02";;"VIMLA* 0735165708 AVG";"-20";"SEK";;;;"";"";"0"
"2026-01-02";;"VIMLA* 0735147846 AVG";"-60";"SEK";;;;"";"";"0"
"2026-01-02";;"VIMLA* 0735299675 AVG";"-60";"SEK";;;;"";"";"0"
"2026-01-02";;"VIMLA* 0793392306 AVG";"-60";"SEK";;;;"";"";"0"
