"Artikelnummer","Benämning","Antal","Försäljning","Moms","Försäljning (inkl. moms)","Inköpssumma","Vinst","Vinst (%)"
"018-Black-3XL","XL 018 Men’s Puffer Jacket - Black / CN M = EU XS *KAMPANJ*",14.000,2759.20,689.80,3449.00,1996.00,763.20,0.27660191359814438968
"018-Black-4XL","XL 018 Men’s Puffer Jacket - Black / CN L = EU S *KAMPANJ*",9.000,1793.60,448.40,2242.00,748.50,1045.10,0.58268287243532560214
"018-Black-5XL","XL 018 Men’s Puffer Jacket - Black / CN XL = EU M *KAMPANJ*",13.000,2670.40,667.60,3338.00,1746.50,923.90,0.34597813061713600959
"018-Black-6XL","XL 018 Men’s Puffer Jacket - Black / CN 2XL = EU L *KAMPANJ*",6.000,1116.00,279.00,1395.00,748.50,367.50,0.32930107526881720430
"018-Brown-3XL","XL 018 Men’s Puffer Jacket - Brown / CN M = EU XS *KAMPANJ*",3.000,478.40,119.60,598.00,249.50,228.90,0.47846989966555183946
"018-Brown-4XL","XL 018 Men’s Puffer Jacket - Brown / CN L = EU S *KAMPANJ*",4.000,838.40,209.60,1048.00,499.00,339.40,0.40481870229007633588
"018-Brown-5XL","XL 018 Men’s Puffer Jacket - Brown / CN XL = EU M *KAMPANJ*",1.000,199.20,49.80,249.00,249.50,-50.30,-0.25251004016064257028
"018-Grey-3XL","XL 018 Men’s Puffer Jacket - ORANGE / CN M = EU XS *KAMPANJ*",2.000,478.40,119.60,598.00,249.50,228.90,0.47846989966555183946
"018-Grey-6XL","XL 018 Men’s Puffer Jacket - ORANGE / CN 2XL = EU L *KAMPANJ*",1.000,199.20,49.80,249.00,249.50,-50.30,-0.25251004016064257028
"1","Kläning",6.000,2020.00,505.00,2525.00,1140.00,880.00,0.43564356435643564356
"111-Black-110","INCI 111 Children’s Puffer Jackets - Black / M *KAMPANJ*",3.000,678.40,169.60,848.00,449.00,229.40,0.33814858490566037736
"111-Black-120","INCI 111 Children’s Puffer Jackets - Black / L *KAMPANJ*",2.000,478.40,119.60,598.00,449.00,29.40,0.06145484949832775920
"111-Brown-120","INCI 111 Children’s Puffer Jackets - GREEN / L *KAMPANJ*",2.000,359.20,89.80,449.00,449.00,-89.80,-0.25000000000000000000
"111-Brown-130","INCI 111 Children’s Puffer Jackets - GREEN / XL *KAMPANJ*",1.000,239.20,59.80,299.00,224.50,14.70,0.06145484949832775920
"157-B-150-2","Inci Tm157 Children’s Puffer Jackets - Brown / 150 *KAMPANJ*",1.000,239.20,59.80,299.00,224.50,14.70,0.06145484949832775920
"1668-D-US","High-Performance 1668 Compression Leggings for ... - Default / Universal Size *KAMPANJ*",14.000,805.60,201.40,1007.00,445.50,360.10,0.44699602780536246276
"2016-Beige-2XL","INCI 2016 Women’s Puffer Jackets - Beige / 2XL *KAMPANJ*",0.000,0.00,0.00,0.00,349.50,-349.50,
"2016-Beige-L","INCI 2016 Women’s Puffer Jackets - Beige / L *KAMPANJ*",2.000,798.40,199.60,998.00,699.00,99.40,0.12449899799599198397
"2016-Beige-M","INCI 2016 Women’s Puffer Jackets - Beige / 3XL *KAMPANJ*",2.000,798.40,199.60,998.00,0.00,798.40,1.00000000000000000000
"2016-Black-L","INCI 2016 Women’s Puffer Jackets - Black / L *KAMPANJ*",1.000,399.20,99.80,499.00,349.50,49.70,0.12449899799599198397
"2016-White-2XL","INCI 2016 Women’s Puffer Jackets - White / 2XL *KAMPANJ*",1.000,399.20,99.80,499.00,349.50,49.70,0.12449899799599198397
"2016-White-XL","INCI 2016 Women’s Puffer Jackets - White / XL *KAMPANJ*",1.000,399.20,99.80,499.00,0.00,399.20,1.00000000000000000000
"20241027-1001-01-03","Model 1001 Women Long Jackets - Black / L *KAMPANJ*",1.000,559.20,139.80,699.00,899.25,-340.05,-0.60810085836909871245
"20241027-1001-02-05","Model 1001 Women Long Jackets - Grey / 2XL *KAMPANJ*",1.000,559.20,139.80,699.00,0.00,559.20,1.00000000000000000000
"20241027-1002-01-01","Model 1002 Women’s Coat - Black / S *KAMPANJ*",1.000,400.00,100.00,500.00,449.25,-49.25,-0.12312500000000000000
"20241027-1002-02-01","Model 1002 Women’s Coat - Grey / S *KAMPANJ*",1.000,399.20,99.80,499.00,0.00,399.20,1.00000000000000000000
"20241027-1008-05-03","Model 1008 Women’s Coat - Beige / L",1.000,959.20,239.80,1199.00,0.00,959.20,1.00000000000000000000
"20241027-1010-02-01","Model 1010 Women Long Coat - Grey / S",1.000,960.00,240.00,1200.00,0.00,960.00,1.00000000000000000000
"20241027-1011-01-01","Model 1011 Women’s Coat - Black / S *KAMPANJ*",1.000,320.00,80.00,400.00,899.25,-579.25,-1.8101562500000000
"20241027-1013-05-06","Model 1013 Women’s Coat - Beige / 3XL",1.000,960.00,240.00,1200.00,0.00,960.00,1.00000000000000000000
"20241027-1014-01-03","Model 1014 Women Long Coat - Black / L *KAMPANJ*",1.000,399.20,99.80,499.00,599.25,-200.05,-0.50112725450901803607
"20241027-1014-01-04","Model 1014 Women Long Coat - Black / XL *KAMPANJ*",1.000,399.20,99.80,499.00,599.25,-200.05,-0.50112725450901803607
"20241027-1014-02-05","Model 1014 Women Long Coat - Grey / 2XL *KAMPANJ*",1.000,399.20,99.80,499.00,599.25,-200.05,-0.50112725450901803607
"20241027-1017-03-01","Model 1017 Women Long Coat - Brown / S *KAMPANJ*",1.000,399.20,99.80,499.00,599.25,-200.05,-0.50112725450901803607
"20241027-1017-10-06","Model 1017 Women Long Coat - Dark Grey / 3XL *KAMPANJ*",2.000,798.40,199.60,998.00,599.25,199.15,0.24943637274549098196
"20241027-1018-01-01","Model 1018 Women Long Jackets - Black / S",1.000,800.00,200.00,1000.00,0.00,800.00,1.00000000000000000000
"20241027-1019-01-01","Model 1019 Women’s Coat - Black / S *KAMPANJ*",1.000,400.00,100.00,500.00,899.25,-499.25,-1.2481250000000000
"20241027-1019-01-05","Model 1019 Women’s Coat - Black / 2XL *KAMPANJ*",1.000,719.20,179.80,899.00,899.25,-180.05,-0.25034760845383759733
"20241027-1020-01-03","Model 1020 Women’s Coat - Black / L *KAMPANJ*",1.000,399.20,99.80,499.00,299.25,99.95,0.25037575150300601202
"20241027-1020-01-04","Model 1020 Women’s Coat - Black / XL *KAMPANJ*",1.000,399.20,99.80,499.00,299.25,99.95,0.25037575150300601202
"20241027-1021-01-01","Model 1021 Women’s Coat - Black / S",1.000,799.20,199.80,999.00,0.00,799.20,1.00000000000000000000
"20241027-1022-01-02","Model 1022 Women’s Coat - Black / M *KAMPANJ*",1.000,399.20,99.80,499.00,389.25,9.95,0.02492484969939879760
"20241027-1023-02-05","Model 1023 Women’s Coat - Grey / 2XL *KAMPANJ*",1.000,399.20,99.80,499.00,0.00,399.20,1.00000000000000000000
"20241027-1024-04-03","Model 1024 Women’s Coat - Amber / L *KAMPANJ*",1.000,399.20,99.80,499.00,389.25,9.95,0.02492484969939879760
"20241027-1025-02-04","Model 1025 Women’s Coat - Grey / XL *KAMPANJ*",1.000,519.20,129.80,649.00,389.25,129.95,0.25028890600924499230
"20241027-1026-01-01","Model 1026 Women’s Coat - Black / S *KAMPANJ*",1.000,559.20,139.80,699.00,749.25,-190.05,-0.33986051502145922747
"20241027-1027-05-02","Model 1027 Women’s Coat - Beige / M *KAMPANJ*",1.000,719.20,179.80,899.00,749.25,-30.05,-0.04178253615127919911
"20241027-1027-10-03","Model 1027 Women’s Coat - Dark Grey / L *KAMPANJ*",1.000,719.20,179.80,899.00,749.25,-30.05,-0.04178253615127919911
"20241027-1027-15-05","Model 1027 Women’s Coat - Pink / 2XL *KAMPANJ*",1.000,639.20,159.80,799.00,0.00,639.20,1.00000000000000000000
"20241027-1028-01-01","Model 1028 Women’s Coat - Black / S *KAMPANJ*",1.000,480.00,120.00,600.00,749.25,-269.25,-0.56093750000000000000
"20241030-1029-01-03","Model 1029 Women’s Jackets - Black / L *KAMPANJ*",1.000,399.20,99.80,499.00,374.25,24.95,0.06250000000000000000
"20241030-1029-05-03","Model 1029 Women’s Jackets - White / L *KAMPANJ*",1.000,239.20,59.80,299.00,0.00,239.20,1.00000000000000000000
"20241030-1030-03-03","Model 1030 Women’s Coat - Turquoise / L *KAMPANJ*",1.000,399.20,99.80,499.00,0.00,399.20,1.00000000000000000000
"20241030-1031-01-01","Model 1031 Women’s Coat - Grey / S *KAMPANJ*",1.000,638.40,159.60,798.00,299.25,339.15,0.53125000000000000000
"20241030-1032-01-01","Model 1032 Women’s Coat - Black / S *KAMPANJ*",1.000,399.20,99.80,499.00,453.75,-54.55,-0.13664829659318637275
"20241030-1032-01-02","Model 1032 Women’s Coat - Black / M *KAMPANJ*",1.000,399.20,99.80,499.00,453.75,-54.55,-0.13664829659318637275
"20241030-1032-05-03","Model 1032 Women’s Coat - Pink / L *KAMPANJ*",1.000,399.20,99.80,499.00,453.75,-54.55,-0.13664829659318637275
"20241030-1036-01-01","Model 1036 Women’s Fur Coat Made From 100% Poly... - White / S *KAMPANJ*",1.000,559.20,139.80,699.00,749.25,-190.05,-0.33986051502145922747
"20241030-1036-01-02","Model 1036 Women’s Fur Coat Made From 100% Poly... - White / M *KAMPANJ*",1.000,719.20,179.80,899.00,749.25,-30.05,-0.04178253615127919911
"20241030-1037-03-01","Model 1037 Women Long Coat - Grey / S *KAMPANJ*",1.000,639.20,159.80,799.00,0.00,639.20,1.00000000000000000000
"20241030-1038-01-01","Model 1038 Women Long Coat - Beige / S *KAMPANJ*",1.000,559.20,139.80,699.00,749.25,-190.05,-0.33986051502145922747
"20241030-1040-01-01","Model 1040 Women Long Coat - Beige / S",1.000,1040.00,260.00,1300.00,0.00,1040.00,1.00000000000000000000
"20241030-1040-02-01","Model 1040 Women Long Coat - Black / S *KAMPANJ*",1.000,639.20,159.80,799.00,0.00,639.20,1.00000000000000000000
"20241030-1040-03-02","Model 1040 Women Long Coat - Brown / M *KAMPANJ*",1.000,639.20,159.80,799.00,0.00,639.20,1.00000000000000000000
"20241030-1041-01-03","Model 1041 Women Long Coat Polyester 65 Wool 35 - Black / L *KAMPANJ*",1.000,719.20,179.80,899.00,749.25,-30.05,-0.04178253615127919911
"20241030-1042-02-04","Model 1042 Women Long Coat - Brown / XL *KAMPANJ*",1.000,639.20,159.80,799.00,0.00,639.20,1.00000000000000000000
"20241030-1043-01-03","Model 1043 Women Long Coat - Black / L *KAMPANJ*",1.000,559.20,139.80,699.00,599.25,-40.05,-0.07162017167381974249
"20241030-1045-01-03","Model 1045 Women Long Coat - Beige / L *KAMPANJ*",1.000,559.20,139.80,699.00,389.25,169.95,0.30391630901287553648
"20241030-1048-03-04","Model 1048 Women Long Coat - Purple / XL *KAMPANJ*",1.000,800.00,200.00,1000.00,749.25,50.75,0.06343750000000000000
