"""Behandlingshistorik""",,,
,,,
559489-5301,,,
"""Utskriftsdatum"": den 8 May 2026 11:20:06",,,
,,,
"""Nr""","""Utförd""","""Nytt värde""","""Inloggad anv"""
67,2026-05-07 19:28:05,Ver registrerad 2026 nr A541 Momsredovisning januari-mars 2026,info@samisjackets.com
66,2026-05-07 19:26:36,SIE4 import från fil CORRECTIONS_INPUT_VAT_Q1_2026.se klar.,info@samisjackets.com
65,2026-05-07 19:26:36,Ver registrerad 2026 nr A540 Q1 2026 input VAT extraction from gross-booked SE expenses,info@samisjackets.com
64,2026-05-07 19:26:36,"SIE4 import från fil CORRECTIONS_INPUT_VAT_Q1_2026.se startad, avser 2026-01-01 - 2026-12-31.",info@samisjackets.com
63,2026-05-07 19:23:37,Ver registrerad 2026 nr A539 Korrigering av momsredovisning januari-mars 2026,info@samisjackets.com
62,2026-05-07 18:56:21,Ver registrerad 2026 nr A538 Momsredovisning januari-mars 2026,info@samisjackets.com
61,2026-05-07 18:52:02,SIE4 import från fil FWT_FULL_REVERSE_CHARGE_Q1_2026.se klar.,info@samisjackets.com
60,2026-05-07 18:52:02,"Ver registrerad 2026 nr A537 FWT Invoice FWT-SJ-2026-Q1-001 - $126,882.90 @ 9.6 - full reverse charge import (ersatter A526)",info@samisjackets.com
59,2026-05-07 18:52:01,"SIE4 import från fil FWT_FULL_REVERSE_CHARGE_Q1_2026.se startad, avser 2026-01-01 - 2026-12-31.",info@samisjackets.com
58,2026-05-07 18:50:34,"Ver registrerad 2026 nr A536 Correction of journal entry A528, Correction of journal entry A527, Correction of journal entry A526, FWT Invoice FWT-SJ-2026-Q1-001 - $126,882.90 @ 9.6 (av Mohammad Sami Alsharef, 2026-05-07) (av Mohammad Sami Alsharef, 2026-05-07) (av Mohammad Sami Alsharef, 2026-05-07)",info@samisjackets.com
57,2026-05-07 18:39:18,"Ver registrerad 2026 nr A535 Correction of journal entry A534, Komplettering importmoms basis Q1 2026 - Box 50 per Skatteverket krav (FWT China container) (av Mohammad Sami Alsharef, 2026-05-07)",info@samisjackets.com
56,2026-05-07 18:29:55,SIE4 import från fil CORRECTION_IMPORT_BOX50_Q1_2026.se klar.,info@samisjackets.com
55,2026-05-07 18:29:55,Ver registrerad 2026 nr A534 Komplettering importmoms basis Q1 2026 - Box 50 per Skatteverket krav (FWT China container),info@samisjackets.com
54,2026-05-07 18:29:54,"SIE4 import från fil CORRECTION_IMPORT_BOX50_Q1_2026.se startad, avser 2026-01-01 - 2026-12-31.",info@samisjackets.com
53,2026-05-07 18:13:07,Ver registrerad 2026 nr A533 Korrigering av momsredovisning januari-mars 2026,info@samisjackets.com
52,2026-05-07 18:08:13,Ver registrerad 2026 nr A532 Momsredovisning januari-mars 2026,info@samisjackets.com
51,2026-05-07 17:42:00,Verifikation registerad 2026 nr A49 0006641229 [MARGINALEN] har ändrats.,info@samisjackets.com
50,2026-05-07 16:41:53,SIE4 import från fil CORRECTION_PACKAGING_MATERIALS_183926_SEK.se klar.,info@samisjackets.com
49,2026-05-07 16:41:53,Ver registrerad 2026 nr A531 CORRECTION: Reclassify packaging materials from expense to inventory,info@samisjackets.com
48,2026-05-07 16:41:52,"SIE4 import från fil CORRECTION_PACKAGING_MATERIALS_183926_SEK.se startad, avser 2026-01-01 - 2026-12-31.",info@samisjackets.com
47,2026-05-07 13:39:52,Verifikation registerad 2026 nr A530 from 2893 to 1910 cash in snabbgros privet  har ändrats.,info@samisjackets.com
46,2026-05-07 13:39:08,Ver registrerad 2026 nr A530 from 2893 to 1910 cash in snabbgros privet ,info@samisjackets.com
45,2026-05-07 13:25:12,SIE4 import från fil SAMER_PAYMENT_FWT_STANDALONE.se klar.,info@samisjackets.com
44,2026-05-07 13:25:12,"Ver registrerad 2026 nr A529 Payment to FWT by Samer Alsharef - 373,303 SEK (38,885 USD @ 9.6)",info@samisjackets.com
43,2026-05-07 13:25:12,"SIE4 import från fil SAMER_PAYMENT_FWT_STANDALONE.se startad, avser 2026-01-01 - 2026-12-31.",info@samisjackets.com
42,2026-05-07 13:05:31,"Ver registrerad 2026 nr A528 Correction of journal entry A527, Correction of journal entry A526, FWT Invoice FWT-SJ-2026-Q1-001 - $126,882.90 @ 9.6 (av Mohammad Sami Alsharef, 2026-05-07) (av Mohammad Sami Alsharef, 2026-05-07)",info@samisjackets.com
