"""Preliminär Huvudbok""",,,,,,,,
Samis Jackets AB,,,,,,,,
559489-5301,,,,,,,,
"""Utskriftsdatum"": den 8 May 2026 11:20:44",,,,,,,,
,,,,,,,,
"""Räkenskapsår:"" 2024-07-01 - 2025-12-31",,,,,,,,
"""Avser perioden"" 2024-07-01 - 2025-12-31",,,,,,,,
,,,,,,,,
,,,,,,,,
"""Konto""","""Verifikation""","""Datum""","""Beskrivning""","""Momskod""","""Moms""","""Debet""","""Kredit""","""Saldo"""
"1220 Inventarier, verktyg och installationer",,,,,,,,
,,,"""Ingående saldo perioden:""",,,,,"0,00"
,A 593,2025-06-30,Allokering maskiner och inventarier frn import,,,"49 170,68",,"49 170,68"
,,,"""Utgående saldo:""",,"0,00","49 170,68","0,00","49 170,68"
,,,,,,,,
1240 (Fritt konto för Maskiner och andra tekniska anläggningar),,,,,,,,
,,,"""Ingående saldo perioden:""",,,,,"0,00"
,A 457,2025-02-26,Purchase of co. vehicle; part-financed by Director's Loan bil GLS947,,,"27 500,00",,"27 500,00"
,,,"""Utgående saldo:""",,"0,00","27 500,00","0,00","27 500,00"
,,,,,,,,
"1383 Lämnade depositioner, långfristiga",,,,,,,,
,,,"""Ingående saldo perioden:""",,,,,"0,00"
,A 48,2024-10-21,(Fastighets AB Akvarium ) Lokaldeposition,,,"120 000,00",,"120 000,00"
,A 475,2025-06-24,ABET.DEPOSIT - terbetalning,,,,"120 000,00","0,00"
,,,"""Utgående saldo:""",,"0,00","120 000,00","120 000,00","0,00"
,,,,,,,,
1460 Lager av handelsvaror,,,,,,,,
,,,"""Ingående saldo perioden:""",,,,,"0,00"
,A 21,2024-10-30,FASTIGHETS AB AKVARIUM F. 5002146107,,,"15 000,00",,"15 000,00"
,A 604,2025-01-31,Avskrivning av stulna damjackor (frsta 4 mnader),,,,"5 462,99","9 537,01"
,A 583,2025-02-14,Tullavgifter,,,"36 946,00",,"46 483,01"
,A 595,2025-06-30,Allokering handelslager 85% frn import,,,"761 502,53",,"807 985,54"
,A 601,2025-06-30,KSV fr slda damjackor oktober 2024 - juni 2025,,,,"163 049,24","644 936,30"
