"""Preliminär Verifikationslista""",,,,,
Samis Jackets AB,,,,,
559489-5301,,,,,
"""Utskriftsdatum"": den 8 May 2026 11:20:20",,,,,
,,,,,
"""Räkenskapsår:"" 2024-07-01 - 2025-12-31",,,,,
"""Avser perioden"" 2024-07-01 - 2025-12-31",,,,,
,,,,,
"""Verifikation""","""Datum""","""Beskrivning/Konto""","""Typ""","""Debet""","""Kredit"""
A 1,2024-07-16,utgift/kostnad (vatan caddesi i istanbul TR),,,
,,"2893 Skulder till närstående personer, kortfristig del",,,983.41
,,"6992 Övriga externa kostnader, ej avdragsgilla",,983.41,
,,,,,
A 2,2024-07-20,utgift/kostnad ( AKBANK/PENDIK ISANBUL TR),,,
,,"2893 Skulder till närstående personer, kortfristig del",,,664.26
,,"6992 Övriga externa kostnader, ej avdragsgilla",,664.26,
,,,,,
A 3,2024-07-10,LAGERBOLAGET F.102576,,,
,,"2893 Skulder till närstående personer, kortfristig del",,,9075.00
,,2641 Debiterad ingående moms,,1485.00,
,,"6991 Övriga externa kostnader, avdragsgilla",,7590.00,
,,,,,
A 4,2024-08-01,"Business Travel: Airfare for M.S. Alsharef, supplier sourcing",,,
,,"2893 Skulder till närstående personer, kortfristig del",,,1306.49
,,5890 Övriga resekostnader,,1306.49,
,,,,,
A 5,2024-08-27,utgift/kostnad (AKBANK/IMC ISTANBUL),,,
,,"2893 Skulder till närstående personer, kortfristig del",,,987.25
,,"6992 Övriga externa kostnader, ej avdragsgilla",,987.25,
,,,,,
A 6,2024-08-26,"(PEGASUS ISTANBUL)Business Travel: Airfare for M.S. Alsharef, supplier sourcing",,,
,,"2893 Skulder till närstående personer, kortfristig del",,,1039.99
,,5890 Övriga resekostnader,,1039.99,
,,,,,
A 7,2024-08-27,utgift/kostnad (ZAYAROGLU GIDA SAANAYI VE ),,,
,,"2893 Skulder till närstående personer, kortfristig del",,,250.96
,,"6992 Övriga externa kostnader, ej avdragsgilla",,250.96,
,,,,,
A 8,2024-08-26,"(THE GREEN OTEL)Business Travel: Airfare for M.S. Alsharef, supplier sourcing",,,
,,"2893 Skulder till närstående personer, kortfristig del",,,2484.60
,,5830 Kost och logi,,2484.60,
,,,,,
A 9,2024-09-14,(RECOMPUTE IT NORDIC ),,,
,,"2893 Skulder till närstående personer, kortfristig del",,,400.00
,,"6991 Övriga externa kostnader, avdragsgilla",,400.00,
,,,,,
A 10,2024-09-06,(AJET.COM ISTANBUL),,,
,,"2893 Skulder till närstående personer, kortfristig del",,,291.57
,,5890 Övriga resekostnader,,291.57,
,,,,,
A 11,2024-09-06,(ST1 ESKILSTUNA),,,
,,"2893 Skulder till närstående personer, kortfristig del",,,667.63
,,"5611 Drivmedel för personbilar, mc, m.m.",,667.63,
,,,,,
A 12,2024-09-10,utgift/kostnad ( DARA ENERGI A.S) DRIVMEDEL,,,
,,"2893 Skulder till närstående personer, kortfristig del",,,652.06
,,"5611 Drivmedel för personbilar, mc, m.m.",,652.06,
,,,,,
A 13,2024-09-11,(ISTANBUL SABINA GOKCEN) TAKE AWAY,,,
,,"2893 Skulder till närstående personer, kortfristig del",,,192.97
,,"6992 Övriga externa kostnader, ej avdragsgilla",,192.97,
,,,,,
A 14,2024-10-29,TEMU PO-191-15837295250472515,,,
,,2641 Debiterad ingående moms,,105.30,
,,"2893 Skulder till närstående personer, kortfristig del",,,476.40
,,5460 Förbrukningsmaterial,,371.10,
,,,,,
A 15,2024-10-10,TEMU PO-191-055293649567125515,,,
,,2641 Debiterad ingående moms,,406.07,
,,"2893 Skulder till närstående personer, kortfristig del",,,2030.55
,,5460 Förbrukningsmaterial,,1624.48,
,,,,,
A 16,2024-10-18,TEMU PO-191-06903722854952515,,,
,,2641 Debiterad ingående moms,,243.14,
,,"2893 Skulder till närstående personer, kortfristig del",,,1215.68
,,5460 Förbrukningsmaterial,,972.54,
,,,,,
A 17,2024-10-31,AIMO PARK - HYRESAVI F.41986401814,,,
,,2641 Debiterad ingående moms,,372.58,
,,"2893 Skulder till närstående personer, kortfristig del",,,1862.90
,,"5610 Personbils- och mc-kostnader, m.m.",,1490.32,
,,,,,
A 18,2024-10-30,"LF SRMLAND FRSKRINGSPREMIE F: 69006*00 (korrigerad med verifikation A241 av Mohammad Sami Alsharef, 2025-06-27)",,,
,,"2893 Skulder till närstående personer, kortfristig del",,,3960.00
,,6310 Företagsförsäkringar,,3960.00,
,,,,,
A 19,2024-10-28,CARGO CENTER KONTANTF. 202407034 FLYterminalavgift,,,
,,2641 Debiterad ingående moms,,767.48,
,,"2893 Skulder till närstående personer, kortfristig del",,,3837.38
,,"6991 Övriga externa kostnader, avdragsgilla",,3069.90,
,,,,,
A 20,2024-10-01,"CARGO CENTER KONTANTF, 202406312 FLYterminalavgift",,,
,,2641 Debiterad ingående moms,,656.18,
,,"2893 Skulder till närstående personer, kortfristig del",,,3280.88
,,"6991 Övriga externa kostnader, avdragsgilla",,2624.70,
,,,,,
A 21,2024-10-30,FASTIGHETS AB AKVARIUM F. 5002146107,,,
,,1930 Företagskonto,,,18750.00
,,2641 Debiterad ingående moms,,3750.00,
,,1460 Lager av handelsvaror,,15000.00,
,,,,,
A 22,2024-10-28,Clas Ohlson,,,
,,2641 Debiterad ingående moms,,49.80,
,,"2893 Skulder till närstående personer, kortfristig del",,,249.00
,,5460 Förbrukningsmaterial,,199.20,
,,,,,
A 23,2024-10-09,Dollarstore,,,
,,2641 Debiterad ingående moms,,35.14,
,,2641 Debiterad ingående moms,,12.00,
,,"2893 Skulder till närstående personer, kortfristig del",,,388.00
,,"6991 Övriga externa kostnader, avdragsgilla",,340.86,
,,,,,
A 24,2024-10-08,Rusta,,,
,,2641 Debiterad ingående moms,,236.66,
,,"2893 Skulder till närstående personer, kortfristig del",,,1183.30
,,5460 Förbrukningsmaterial,,946.64,
,,,,,
A 25,2024-10-09,Biltema,,,
,,2641 Debiterad ingående moms,,386.88,
,,"2893 Skulder till närstående personer, kortfristig del",,,1934.40
,,5460 Förbrukningsmaterial,,1547.52,
,,,,,
A 26,2024-10-08,Biltema,,,
,,2641 Debiterad ingående moms,,73.00,
,,"2893 Skulder till närstående personer, kortfristig del",,,365.00
,,5460 Förbrukningsmaterial,,292.00,
,,,,,
A 27,2024-10-12,Biltema,,,
,,2641 Debiterad ingående moms,,99.80,
,,"2893 Skulder till närstående personer, kortfristig del",,,499.00
,,5460 Förbrukningsmaterial,,399.20,
,,,,,
A 28,2024-10-10,biltema,,,
,,2641 Debiterad ingående moms,,240.20,
,,"2893 Skulder till närstående personer, kortfristig del",,,1201.00
,,5460 Förbrukningsmaterial,,960.80,
,,,,,
A 29,2024-10-28,Biltema,,,
,,2641 Debiterad ingående moms,,79.80,
,,"2893 Skulder till närstående personer, kortfristig del",,,399.00
,,5460 Förbrukningsmaterial,,319.20,
,,,,,
A 30,2024-10-15,Clas Ohlson,,,
,,2641 Debiterad ingående moms,,47.92,
