date;amount_sek;currency;original_amount;direction;suggested_account;category_hint;counterparty;description;notes;needs_review;source_file
2026-01-01;3433.00;SEK;3433.00;IN;3051;SALES;G&S By Samis jackets;Worldline payout B01019707261 (7 kortköp, payout 3411.61);REF=B01019707261 matchar Marginalen B-rad 3411.61;NO;monthly_report_202601.xlsx
2026-01-01;-26.38;SEK;-26.38;OUT;6570;BANK_FEE;Worldline / Bambora;Worldline avgifter payout B01019707261;;NO;monthly_report_202601.xlsx
2026-01-05;4555.00;SEK;4555.00;IN;3051;SALES;G&S By Samis jackets;Worldline payout B01059767400 (14 kortköp, payout 4525.12);REF=B01059767400 matchar Marginalen B-rad 4525.12;NO;monthly_report_202601.xlsx
2026-01-05;-29.88;SEK;-29.88;OUT;6570;BANK_FEE;Worldline / Bambora;Worldline avgifter payout B01059767400;;NO;monthly_report_202601.xlsx
2026-01-06;5221.00;SEK;5221.00;IN;3051;SALES;G&S By Samis jackets;Worldline payout B01069781423 (13 kortköp, payout 5187.01);REF=B01069781423 matchar Marginalen B-rad 5187.01;NO;monthly_report_202601.xlsx
2026-01-06;-33.99;SEK;-33.99;OUT;6570;BANK_FEE;Worldline / Bambora;Worldline avgifter payout B01069781423;;NO;monthly_report_202601.xlsx
2026-01-07;4303.00;SEK;4303.00;IN;3051;SALES;G&S By Samis jackets;Worldline payout B01079801854 (8 kortköp, payout 4274.49);REF=B01079801854 matchar Marginalen B-rad 4274.49;NO;monthly_report_202601.xlsx
2026-01-07;-28.51;SEK;-28.51;OUT;6570;BANK_FEE;Worldline / Bambora;Worldline avgifter payout B01079801854;;NO;monthly_report_202601.xlsx
2026-01-08;5016.00;SEK;5016.00;IN;3051;SALES;G&S By Samis jackets;Worldline payout B01089820788 (16 kortköp, payout 4983.26);REF=B01089820788 matchar Marginalen B-rad 4983.26;NO;monthly_report_202601.xlsx
2026-01-08;-32.74;SEK;-32.74;OUT;6570;BANK_FEE;Worldline / Bambora;Worldline avgifter payout B01089820788;;NO;monthly_report_202601.xlsx
2026-01-09;1895.00;SEK;1895.00;IN;3051;SALES;G&S By Samis jackets;Worldline payout B01099844174 (8 kortköp, payout 1882.69);REF=B01099844174 matchar Marginalen B-rad 1882.69;NO;monthly_report_202601.xlsx
2026-01-09;-12.31;SEK;-12.31;OUT;6570;BANK_FEE;Worldline / Bambora;Worldline avgifter payout B01099844174;;NO;monthly_report_202601.xlsx
